image_path,label
./dataset/nhcd\numerals\0\001_01.jpg,०
./dataset/nhcd\numerals\0\001_02.jpg,०
./dataset/nhcd\numerals\0\002_01.jpg,०
./dataset/nhcd\numerals\0\002_02.jpg,०
./dataset/nhcd\numerals\0\004_01.jpg,०
./dataset/nhcd\numerals\0\004_02.jpg,०
./dataset/nhcd\numerals\0\005_01.jpg,०
./dataset/nhcd\numerals\0\005_02.jpg,०
./dataset/nhcd\numerals\0\007_01.jpg,०
./dataset/nhcd\numerals\0\007_02.jpg,०
./dataset/nhcd\numerals\0\008_01.jpg,०
./dataset/nhcd\numerals\0\008_02.jpg,०
./dataset/nhcd\numerals\0\010_01.jpg,०
./dataset/nhcd\numerals\0\010_02.jpg,०
./dataset/nhcd\numerals\0\011_01.jpg,०
./dataset/nhcd\numerals\0\011_02.jpg,०
./dataset/nhcd\numerals\0\013_01.jpg,०
./dataset/nhcd\numerals\0\013_02.jpg,०
./dataset/nhcd\numerals\0\014_01.jpg,०
./dataset/nhcd\numerals\0\014_02.jpg,०
./dataset/nhcd\numerals\0\015_01.jpg,०
./dataset/nhcd\numerals\0\015_02.jpg,०
./dataset/nhcd\numerals\0\016_01.jpg,०
./dataset/nhcd\numerals\0\016_02.jpg,०
./dataset/nhcd\numerals\0\018_01.jpg,०
./dataset/nhcd\numerals\0\018_02.jpg,०
./dataset/nhcd\numerals\0\019_01.jpg,०
./dataset/nhcd\numerals\0\019_02.jpg,०
./dataset/nhcd\numerals\0\020_01.jpg,०
./dataset/nhcd\numerals\0\020_02.jpg,०
./dataset/nhcd\numerals\0\021_01.jpg,०
./dataset/nhcd\numerals\0\021_02.jpg,०
./dataset/nhcd\numerals\0\023_01.jpg,०
./dataset/nhcd\numerals\0\023_02.jpg,०
./dataset/nhcd\numerals\0\024_01.jpg,०
./dataset/nhcd\numerals\0\024_02.jpg,०
./dataset/nhcd\numerals\0\025_01.jpg,०
./dataset/nhcd\numerals\0\025_02.jpg,०
./dataset/nhcd\numerals\0\027_01.jpg,०
./dataset/nhcd\numerals\0\027_02.jpg,०
./dataset/nhcd\numerals\0\029_01.jpg,०
./dataset/nhcd\numerals\0\030_01.jpg,०
./dataset/nhcd\numerals\0\030_02.jpg,०
./dataset/nhcd\numerals\0\032_01.jpg,०
./dataset/nhcd\numerals\0\032_02.jpg,०
./dataset/nhcd\numerals\0\033_01.jpg,०
./dataset/nhcd\numerals\0\033_02.jpg,०
./dataset/nhcd\numerals\0\034_01.jpg,०
./dataset/nhcd\numerals\0\035_02.jpg,०
./dataset/nhcd\numerals\0\036_01.jpg,०
./dataset/nhcd\numerals\0\036_02.jpg,०
./dataset/nhcd\numerals\0\037_01.jpg,०
./dataset/nhcd\numerals\0\037_02.jpg,०
./dataset/nhcd\numerals\0\038_01.jpg,०
./dataset/nhcd\numerals\0\038_02.jpg,०
./dataset/nhcd\numerals\0\039_01.jpg,०
./dataset/nhcd\numerals\0\040_02.jpg,०
./dataset/nhcd\numerals\0\041_01.jpg,०
./dataset/nhcd\numerals\0\041_02.jpg,०
./dataset/nhcd\numerals\0\042_01.jpg,०
./dataset/nhcd\numerals\0\042_02.jpg,०
./dataset/nhcd\numerals\0\043_01.jpg,०
./dataset/nhcd\numerals\0\043_02.jpg,०
./dataset/nhcd\numerals\0\044_01.jpg,०
./dataset/nhcd\numerals\0\045_02.jpg,०
./dataset/nhcd\numerals\0\046_01.jpg,०
./dataset/nhcd\numerals\0\046_02.jpg,०
./dataset/nhcd\numerals\1\001_01.jpg,१
./dataset/nhcd\numerals\1\001_02.jpg,१
./dataset/nhcd\numerals\1\002_01.jpg,१
./dataset/nhcd\numerals\1\002_02.jpg,१
./dataset/nhcd\numerals\1\004_01.jpg,१
./dataset/nhcd\numerals\1\005_02.jpg,१
./dataset/nhcd\numerals\1\006_01.jpg,१
./dataset/nhcd\numerals\1\006_02.jpg,१
./dataset/nhcd\numerals\1\007_01.jpg,१
./dataset/nhcd\numerals\1\007_02.jpg,१
./dataset/nhcd\numerals\1\008_01.jpg,१
./dataset/nhcd\numerals\1\008_02.jpg,१
./dataset/nhcd\numerals\1\010_01.jpg,१
./dataset/nhcd\numerals\1\011_02.jpg,१
./dataset/nhcd\numerals\1\012_01.jpg,१
./dataset/nhcd\numerals\1\012_02.jpg,१
./dataset/nhcd\numerals\1\013_01.jpg,१
./dataset/nhcd\numerals\1\013_02.jpg,१
./dataset/nhcd\numerals\1\014_01.jpg,१
./dataset/nhcd\numerals\1\014_02.jpg,१
./dataset/nhcd\numerals\1\015_01.jpg,१
./dataset/nhcd\numerals\1\016_02.jpg,१
./dataset/nhcd\numerals\1\017_01.jpg,१
./dataset/nhcd\numerals\1\017_02.jpg,१
./dataset/nhcd\numerals\1\018_01.jpg,१
./dataset/nhcd\numerals\1\018_02.jpg,१
./dataset/nhcd\numerals\1\019_01.jpg,१
./dataset/nhcd\numerals\1\019_02.jpg,१
./dataset/nhcd\numerals\1\020_01.jpg,१
./dataset/nhcd\numerals\1\021_02.jpg,१
./dataset/nhcd\numerals\1\022_01.jpg,१
./dataset/nhcd\numerals\1\022_02.jpg,१
./dataset/nhcd\numerals\1\023_01.jpg,१
./dataset/nhcd\numerals\1\023_02.jpg,१
./dataset/nhcd\numerals\1\024_01.jpg,१
./dataset/nhcd\numerals\1\024_02.jpg,१
./dataset/nhcd\numerals\1\025_01.jpg,१
./dataset/nhcd\numerals\1\027_02.jpg,१
./dataset/nhcd\numerals\1\028_01.jpg,१
./dataset/nhcd\numerals\1\028_02.jpg,१
./dataset/nhcd\numerals\1\029_01.jpg,१
./dataset/nhcd\numerals\1\030_01.jpg,१
./dataset/nhcd\numerals\1\030_02.jpg,१
./dataset/nhcd\numerals\1\032_01.jpg,१
./dataset/nhcd\numerals\1\032_02.jpg,१
./dataset/nhcd\numerals\1\034_01.jpg,१
./dataset/nhcd\numerals\1\034_02.jpg,१
./dataset/nhcd\numerals\1\035_01.jpg,१
./dataset/nhcd\numerals\1\035_02.jpg,१
./dataset/nhcd\numerals\1\036_01.jpg,१
./dataset/nhcd\numerals\1\036_02.jpg,१
./dataset/nhcd\numerals\1\037_01.jpg,१
./dataset/nhcd\numerals\1\037_02.jpg,१
./dataset/nhcd\numerals\1\039_01.jpg,१
./dataset/nhcd\numerals\1\039_02.jpg,१
./dataset/nhcd\numerals\1\040_01.jpg,१
./dataset/nhcd\numerals\1\040_02.jpg,१
./dataset/nhcd\numerals\1\041_01.jpg,१
./dataset/nhcd\numerals\1\041_02.jpg,१
./dataset/nhcd\numerals\1\042_01.jpg,१
./dataset/nhcd\numerals\1\042_02.jpg,१
./dataset/nhcd\numerals\1\044_01.jpg,१
./dataset/nhcd\numerals\1\044_02.jpg,१
./dataset/nhcd\numerals\1\045_01.jpg,१
./dataset/nhcd\numerals\1\045_02.jpg,१
./dataset/nhcd\numerals\1\046_01.jpg,१
./dataset/nhcd\numerals\1\046_02.jpg,१
./dataset/nhcd\numerals\2\001_01.jpg,२
./dataset/nhcd\numerals\2\001_02.jpg,२
./dataset/nhcd\numerals\2\004_01.jpg,२
./dataset/nhcd\numerals\2\004_02.jpg,२
./dataset/nhcd\numerals\2\005_01.jpg,२
./dataset/nhcd\numerals\2\005_02.jpg,२
./dataset/nhcd\numerals\2\006_01.jpg,२
./dataset/nhcd\numerals\2\006_02.jpg,२
./dataset/nhcd\numerals\2\007_01.jpg,२
./dataset/nhcd\numerals\2\007_02.jpg,२
./dataset/nhcd\numerals\2\010_01.jpg,२
./dataset/nhcd\numerals\2\010_02.jpg,२
./dataset/nhcd\numerals\2\011_01.jpg,२
./dataset/nhcd\numerals\2\011_02.jpg,२
./dataset/nhcd\numerals\2\012_01.jpg,२
./dataset/nhcd\numerals\2\012_02.jpg,२
./dataset/nhcd\numerals\2\013_01.jpg,२
./dataset/nhcd\numerals\2\013_02.jpg,२
./dataset/nhcd\numerals\2\015_01.jpg,२
./dataset/nhcd\numerals\2\015_02.jpg,२
./dataset/nhcd\numerals\2\016_01.jpg,२
./dataset/nhcd\numerals\2\016_02.jpg,२
./dataset/nhcd\numerals\2\017_01.jpg,२
./dataset/nhcd\numerals\2\017_02.jpg,२
./dataset/nhcd\numerals\2\018_01.jpg,२
./dataset/nhcd\numerals\2\018_02.jpg,२
./dataset/nhcd\numerals\2\020_01.jpg,२
./dataset/nhcd\numerals\2\020_02.jpg,२
./dataset/nhcd\numerals\2\021_01.jpg,२
./dataset/nhcd\numerals\2\021_02.jpg,२
./dataset/nhcd\numerals\2\022_01.jpg,२
./dataset/nhcd\numerals\2\022_02.jpg,२
./dataset/nhcd\numerals\2\023_01.jpg,२
./dataset/nhcd\numerals\2\023_02.jpg,२
./dataset/nhcd\numerals\2\025_01.jpg,२
./dataset/nhcd\numerals\2\025_02.jpg,२
./dataset/nhcd\numerals\2\027_01.jpg,२
./dataset/nhcd\numerals\2\027_02.jpg,२
./dataset/nhcd\numerals\2\028_01.jpg,२
./dataset/nhcd\numerals\2\028_02.jpg,२
./dataset/nhcd\numerals\2\029_01.jpg,२
./dataset/nhcd\numerals\2\030_01.jpg,२
./dataset/nhcd\numerals\2\032_02.jpg,२
./dataset/nhcd\numerals\2\033_01.jpg,२
./dataset/nhcd\numerals\2\033_02.jpg,२
./dataset/nhcd\numerals\2\034_01.jpg,२
./dataset/nhcd\numerals\2\034_02.jpg,२
./dataset/nhcd\numerals\2\035_01.jpg,२
./dataset/nhcd\numerals\2\035_02.jpg,२
./dataset/nhcd\numerals\2\036_01.jpg,२
./dataset/nhcd\numerals\2\037_02.jpg,२
./dataset/nhcd\numerals\2\038_01.jpg,२
./dataset/nhcd\numerals\2\038_02.jpg,२
./dataset/nhcd\numerals\2\039_01.jpg,२
./dataset/nhcd\numerals\2\039_02.jpg,२
./dataset/nhcd\numerals\2\040_01.jpg,२
./dataset/nhcd\numerals\2\040_02.jpg,२
./dataset/nhcd\numerals\2\041_01.jpg,२
./dataset/nhcd\numerals\2\042_02.jpg,२
./dataset/nhcd\numerals\2\043_01.jpg,२
./dataset/nhcd\numerals\2\043_02.jpg,२
./dataset/nhcd\numerals\2\044_01.jpg,२
./dataset/nhcd\numerals\2\044_02.jpg,२
./dataset/nhcd\numerals\2\045_01.jpg,२
./dataset/nhcd\numerals\2\045_02.jpg,२
./dataset/nhcd\numerals\2\046_01.jpg,२
./dataset/nhcd\numerals\3\001_02.jpg,३
./dataset/nhcd\numerals\3\002_01.jpg,३
./dataset/nhcd\numerals\3\002_02.jpg,३
./dataset/nhcd\numerals\3\004_01.jpg,३
./dataset/nhcd\numerals\3\004_02.jpg,३
./dataset/nhcd\numerals\3\005_01.jpg,३
./dataset/nhcd\numerals\3\005_02.jpg,३
./dataset/nhcd\numerals\3\006_01.jpg,३
./dataset/nhcd\numerals\3\007_02.jpg,३
./dataset/nhcd\numerals\3\008_01.jpg,३
./dataset/nhcd\numerals\3\008_02.jpg,३
./dataset/nhcd\numerals\3\010_01.jpg,३
./dataset/nhcd\numerals\3\010_02.jpg,३
./dataset/nhcd\numerals\3\011_01.jpg,३
./dataset/nhcd\numerals\3\011_02.jpg,३
./dataset/nhcd\numerals\3\012_01.jpg,३
./dataset/nhcd\numerals\3\013_02.jpg,३
./dataset/nhcd\numerals\3\014_01.jpg,३
./dataset/nhcd\numerals\3\014_02.jpg,३
./dataset/nhcd\numerals\3\015_01.jpg,३
./dataset/nhcd\numerals\3\015_02.jpg,३
./dataset/nhcd\numerals\3\016_01.jpg,३
./dataset/nhcd\numerals\3\016_02.jpg,३
./dataset/nhcd\numerals\3\017_01.jpg,३
./dataset/nhcd\numerals\3\018_02.jpg,३
./dataset/nhcd\numerals\3\019_01.jpg,३
./dataset/nhcd\numerals\3\019_02.jpg,३
./dataset/nhcd\numerals\3\020_01.jpg,३
./dataset/nhcd\numerals\3\020_02.jpg,३
./dataset/nhcd\numerals\3\021_01.jpg,३
./dataset/nhcd\numerals\3\021_02.jpg,३
./dataset/nhcd\numerals\3\022_01.jpg,३
./dataset/nhcd\numerals\3\023_02.jpg,३
./dataset/nhcd\numerals\3\024_01.jpg,३
./dataset/nhcd\numerals\3\024_02.jpg,३
./dataset/nhcd\numerals\3\025_01.jpg,३
./dataset/nhcd\numerals\3\025_02.jpg,३
./dataset/nhcd\numerals\3\027_01.jpg,३
./dataset/nhcd\numerals\3\027_02.jpg,३
./dataset/nhcd\numerals\3\028_01.jpg,३
./dataset/nhcd\numerals\3\030_01.jpg,३
./dataset/nhcd\numerals\3\030_02.jpg,३
./dataset/nhcd\numerals\3\032_01.jpg,३
